SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
13,10:18:17,2023-01-05,Auto gsw+F,LI-COR Default,,013,,,0.387436,2.922366,0.342084,5.875251,1.433110,1.284626,2.960402,1.527292,14.097750,15.727242,32.488068,0.441786,PSF-00438_20230105101817,0.000000,0.000000,0.000000,103.920937,389.435364,0.733150,0.5,0.80,107.558395,39.45,35.36,27.25,23.81,91.12,156.8,155.3,0.9,367,4.047,10:12:31,2023-01-05,0.04,0.002,0.002,0.012,-0.312,0.237,-0.366,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,372.394318,25,-11.814151,372.855652,372.547150,0.308502,2.447171,2.466825,1.656189,0.934598,0.249330,-0.038977,0.240159,0.437234,103.920937,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20230105101817,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
14,10:19:01,2023-01-05,Auto gsw+F,LI-COR Default,,014,,,0.534808,2.921776,0.452062,7.495808,1.459556,1.270088,2.934034,1.474479,13.938554,16.017864,32.199497,0.441786,PSF-00438_20230105101901,0.000000,0.000000,0.000000,108.854057,395.997559,0.725114,0.5,0.80,114.689865,39.96,34.77,27.35,23.66,91.12,156.7,155.8,0.6,395,4.046,10:12:31,2023-01-05,0.04,0.003,0.003,0.010,-0.436,0.262,-0.029,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,380.519623,25,-10.713295,380.964508,380.682983,0.281525,2.446332,2.467513,1.655571,0.935844,0.248420,-0.041703,0.244224,0.463008,108.854057,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20230105101901,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
15,10:19:20,2023-01-05,Auto gsw+F,LI-COR Default,,015,,,0.173438,2.923555,0.163725,2.957707,1.348896,1.274146,2.956170,1.607274,13.982593,14.802905,32.441273,0.441786,PSF-00438_20230105101920,0.000000,0.000000,0.000000,94.974159,383.219208,0.752168,0.5,0.80,123.122330,36.83,34.79,27.39,23.78,91.12,156.9,154.1,1.8,409,4.045,10:12:31,2023-01-05,0.04,-0.000,-0.001,-9999.000,2.703,-1.250,-9999.000,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,369.264008,25,-9.656182,370.049713,369.415771,0.633942,2.446345,2.463155,1.657437,0.931356,0.247962,-0.040849,0.245959,0.475427,94.974159,0.000242,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20230105101920,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
16,10:19:46,2023-01-05,Auto gsw+F,LI-COR Default,,016,,,0.220591,2.922110,0.205108,3.700986,1.361374,1.267743,2.966602,1.605228,13.912095,14.939589,32.555206,0.441786,PSF-00438_20230105101946,0.000000,0.000000,0.000000,88.203194,370.395691,0.761868,0.5,0.80,114.064842,37.03,34.49,27.46,23.84,91.13,156.8,156.3,0.3,374,4.044,10:12:31,2023-01-05,0.04,-0.001,-0.003,-9999.000,1.271,0.328,-9999.000,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,343.548767,25,-19.252218,341.007111,342.874817,-1.867706,2.445909,2.463426,1.655920,0.937019,0.247337,-0.040931,0.248237,0.444004,88.203194,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20230105101946,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
17,10:20:12,2023-01-05,Auto gsw+F,LI-COR Default,,017,,,0.310067,2.922127,0.280322,4.401636,1.380065,1.268729,2.778319,1.398255,13.922461,15.144203,30.488014,0.441786,PSF-00438_20230105102012,0.000000,0.000000,0.000000,101.441864,377.458984,0.731251,0.5,0.80,87.601227,37.40,34.38,27.52,22.76,91.13,156.8,156.4,0.2,299,4.044,10:12:31,2023-01-05,0.04,0.001,0.003,-9999.000,2.006,-1.164,-9999.000,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,365.623352,25,-8.205385,366.925110,365.729462,1.195648,2.445749,2.463922,1.655938,0.937260,0.246696,-0.053754,0.250587,0.376714,101.441864,0.000243,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20230105102012,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
18,10:20:36,2023-01-05,Auto gsw+F,LI-COR Default,,018,,,0.118784,2.923195,0.114146,2.259854,1.327288,1.270138,3.087847,1.760559,13.937039,14.564136,33.882496,0.441786,PSF-00438_20230105102036,0.000000,0.000000,0.000000,111.886383,371.810181,0.699077,0.5,0.80,75.336548,35.85,34.30,27.58,24.51,91.13,156.9,155.4,0.9,269,4.042,10:12:31,2023-01-05,0.04,-0.001,0.001,-9999.000,3.143,3.483,-9999.000,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,358.550201,25,-9.692634,356.335754,357.954651,-1.618896,2.445630,2.461739,1.657059,0.934817,0.246132,-0.034872,0.252689,0.349658,111.886383,0.000243,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20230105102036,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
19,10:21:20,2023-01-05,Auto gsw+F,LI-COR Default,,019,,,0.300592,2.920915,0.272544,4.668734,1.386792,1.268581,2.911228,1.524436,13.918995,15.216023,31.942282,0.441786,PSF-00438_20230105102120,0.000000,0.000000,0.000000,106.764793,376.969177,0.716781,0.5,0.80,65.251442,37.20,34.03,27.70,23.53,91.14,156.6,156.6,-0.0,228,4.042,10:12:31,2023-01-05,0.04,0.002,0.003,0.015,0.181,0.708,4.666,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,362.439026,25,-10.596648,359.939941,361.821350,-1.881409,2.445221,2.463608,1.654670,0.937851,0.244991,-0.047212,0.256642,0.312029,106.764793,0.000243,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20230105102120,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
20,10:21:55,2023-01-05,Auto gsw+F,LI-COR Default,,020,,,1.050914,2.921278,0.772876,11.202463,1.557875,1.274848,2.847003,1.289129,13.987574,17.092926,31.237179,0.441786,PSF-00438_20230105102155,0.000000,0.000000,0.000000,118.427399,372.477814,0.682055,0.5,0.80,103.105995,41.61,34.05,27.77,23.16,91.14,156.6,156.5,0.1,378,4.040,10:12:31,2023-01-05,0.04,-0.000,0.001,0.015,-3.788,-0.747,-1.305,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,365.045441,25,-5.212661,365.192047,365.026367,0.165680,2.445235,2.469682,1.655049,0.937509,0.244267,-0.052185,0.259727,0.447269,118.427399,0.000242,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20230105102155,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
21,10:22:20,2023-01-05,Auto gsw+F,LI-COR Default,,021,,,0.146900,2.922701,0.139870,2.905409,1.359184,1.285703,3.204906,1.845722,14.107292,14.913556,35.165619,0.441786,PSF-00438_20230105102220,0.000000,0.000000,0.000000,96.153259,384.145935,0.749696,0.5,0.80,90.483551,36.17,34.21,27.83,25.13,91.14,156.8,155.5,0.8,302,4.040,10:12:31,2023-01-05,0.04,0.000,0.003,-9999.000,2.399,0.527,-9999.000,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,376.433014,25,-5.179854,379.856598,376.741364,3.115234,2.445455,2.462139,1.656539,0.935040,0.243664,-0.030794,0.261939,0.378731,96.153259,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20230105102220,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
22,10:22:52,2023-01-05,Auto gsw+F,LI-COR Default,,022,,,0.100783,2.922576,0.097423,2.015347,1.306368,1.255360,3.145739,1.839370,13.773599,14.333251,34.514507,0.441786,PSF-00438_20230105102252,0.000000,0.000000,0.000000,96.646790,376.490051,0.743295,0.5,0.80,127.428139,34.58,33.23,27.92,24.82,91.14,156.8,156.6,0.1,429,4.038,10:22:44,2023-01-05,-0.14,0.000,0.002,-9999.000,-0.662,1.679,-9999.000,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,361.768127,25,-10.582067,363.255157,361.363068,1.892090,2.444055,2.460140,1.656409,0.937729,0.242789,-0.035384,0.264667,0.492849,96.646790,0.000242,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20230105102252,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
23,10:23:33,2023-01-05,Auto gsw+F,LI-COR Default,,023,,,0.045729,2.922328,0.045024,0.988350,1.274476,1.249452,3.225429,1.950953,13.711253,13.985864,35.395264,0.441786,PSF-00438_20230105102333,0.000000,0.000000,0.000000,139.165527,399.991699,0.652079,0.5,0.80,100.605881,33.51,32.85,28.04,25.24,91.13,156.8,156.6,0.1,386,4.037,10:22:44,2023-01-05,-0.14,-0.001,-0.002,-0.004,-2.200,1.617,12.538,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,393.907440,25,-4.567458,393.734344,393.462555,0.271790,2.443509,2.458611,1.656149,0.937849,0.241707,-0.031952,0.268229,0.454275,139.165527,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20230105102333,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
24,10:24:02,2023-01-05,Auto gsw+F,LI-COR Default,,024,,,0.123105,2.922497,0.118129,2.389564,1.267949,1.207441,3.067744,1.799795,13.247982,13.911878,33.659138,0.441786,PSF-00438_20230105102402,0.000000,0.000000,0.000000,113.895538,344.054474,0.668961,0.5,0.80,98.009064,33.22,31.63,28.10,24.40,91.14,156.8,155.3,1.0,366,4.036,10:22:44,2023-01-05,-0.14,0.001,0.000,-9999.000,-1.150,-0.782,-9999.000,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,344.054474,25,3.905851,343.908539,349.637848,-5.729309,2.441767,2.458182,1.656325,0.934481,0.241104,-0.042160,0.270687,0.436789,113.895538,0.000241,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20230105102402,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
25,10:24:44,2023-01-05,Auto gsw+F,LI-COR Default,,025,,,0.045043,2.923084,0.044360,1.070351,1.204101,1.176994,3.348046,2.143945,12.915589,13.213038,36.739330,0.441786,PSF-00438_20230105102444,0.000000,0.000000,0.000000,91.515541,358.363922,0.744630,0.5,0.80,110.384300,31.38,30.67,28.19,25.87,91.13,156.9,156.4,0.3,371,4.036,10:22:44,2023-01-05,-0.14,0.000,0.000,-9999.000,1.664,0.297,-9999.000,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,334.442505,25,-16.368851,336.365112,334.964783,1.400330,2.440376,2.455531,1.656942,0.937339,0.240218,-0.026629,0.274338,0.440682,91.515541,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20230105102444,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
